amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids
404-8772560-8675544	404-8772560-8675544	2026-01-24T20:02:15+00:00	2026-01-24T22:18:10+00:00	Shipped	Amazon	Amazon.ae		Expedited	Sandisk 256GB Ultra Microsdxc Uhs 1 Card 100Mb/S Grey -Sdsqunr-256G-Gn3Mn, Grey	SDSQUNR-256G-GN3MN	B09NXWQH4P	Shipped	1	AED	75.0		1.0					1.0	Dubai			AE	
402-7976567-4865158	402-7976567-4865158	2026-01-24T17:26:18+00:00	2026-01-24T22:17:11+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 128GB Ultra Upto 100MB/s UHS-I Class 10 microSDXC Card-SDSQUNS-128G-GN6MN	SDSQUNR-128G-GN6MN-1	B07HHD7C7T	Shipped	1	AED	58.69		1.67					1.67	Dubai			AE	
403-3400819-8773141	403-3400819-8773141	2026-01-24T19:21:07+00:00	2026-01-24T22:14:07+00:00	Shipped	Amazon	Amazon.ae		Expedited	WD 2TB Elements Portable External Hard Drive USB 3.0 for PC - Black - WDBU6Y0020BBK-WESN	WDBU6Y0020BBK-WESN	B06W55K9N6	Shipped	1	AED	325.0		5.0					5.0	Dubai			AE	
406-2434857-1065948	406-2434857-1065948	2026-01-24T17:40:55+00:00	2026-01-24T22:11:11+00:00	Shipped	Amazon	Amazon.ae		Expedited	Sandisk Ultra MicroSDXC 64Gb 100Mb/SDSQUNR-064G-GN3MN	SDSQUNR-064G-GN3MN	B08HYFSXKW	Shipped	1	AED	34.0		2.5					2.5	Sharjah			AE	
408-0472092-9200334	408-0472092-9200334	2026-01-24T17:15:19+00:00	2026-01-24T22:07:25+00:00	Shipped	Amazon	Amazon.ae		Expedited	Sandisk Ultra MicroSDXC 64Gb 100Mb/SDSQUNR-064G-GN3MN	SDSQUNR-064G-GN3MN	B08HYFSXKW	Shipped	1	AED	34.0		0.5					0.5	Sharjah			AE	
408-1969146-1477156	408-1969146-1477156	2026-01-24T17:35:08+00:00	2026-01-24T22:06:38+00:00	Shipped	Amazon	Amazon.ae		Standard	SanDisk Ixpand Flash Drive Luxe 128GB 2-In-1 Lightning & Usb Type-C Connectors For Your Iphone And Ipad	SDIX70N-128G-GN6NE	B08JCX96NC	Shipped	1	AED	197.59								Dubai	Province of Dubai	0000	AE	
403-7370781-3471559	403-7370781-3471559	2026-01-24T17:23:14+00:00	2026-01-24T22:05:13+00:00	Shipped	Amazon	Amazon.ae		Expedited	Sandisk Ultra Android microSDHC 32 Gb 80 Mb/s Class 10 Featuring Class 10 for Full HD4 - SDSQUNS-032G-GN3MN	SDSQUNS-032G-GN3MN-1	B07M82H6MV	Shipped	1	AED	35.0		1.25					1.25	Dubai			AE	
171-4126389-0208337	171-4126389-0208337	2026-01-24T17:48:41+00:00	2026-01-24T22:04:14+00:00	Shipped	Amazon	Amazon.ae		Expedited	SanDisk 2Tb Extreme Portable Ssd - Up To 1050Mb/S - Usb-C, Usb 3.2 Gen 2 - External Solid State Drive - Sdssde61-2T00-G25	SDSSDE61-2T00-G25	B08HN37XC1	Shipped	1	AED	699.0		2.5					2.5	Dubai			AE	
405-3440878-7257127	405-3440878-7257127	2026-01-24T17:39:53+00:00	2026-01-24T22:04:10+00:00	Shipped	Amazon	Amazon.ae		NextDay	SanDisk 2Tb Extreme Portable Ssd - Up To 1050Mb/S - Usb-C, Usb 3.2 Gen 2 - External Solid State Drive - Sdssde61-2T00-G25	SDSSDE61-2T00-G25	B08HN37XC1	Shipped	1	AED	699.0		14.0						Dubai			AE	
408-2817605-0583555	408-2817605-0583555	2026-01-23T13:03:44+00:00	2026-01-24T22:04:10+00:00	Shipped	Amazon	Amazon.ae		Standard	Acer 128GB USB 3.2 Gen 1 Flash Drive, USB Type-A, Shockproof, 100MB/s Read Speed, USB, Green, UP300	BL.9BWWA.559	B0CMCFGWK6	Shipped	1	AED	39.0		3.34					3.34	Abu Dhabi			AE	
